Order ID,Ingredient ID,Ingredient Description,Cost,Quantity,Location,,
10,0001',Watermelon,7.23,1,Good Fortune Supermarket,,
10,0002',Green Grapes,4.93,1,Good Fortune Supermarket,,
10,0003',Red Grapes,4.88,1,Good Fortune Supermarket,,
10,0004',Honeydew Melon,8.18,1,Good Fortune Supermarket,,
10,0005',Strawberries,3.99,1,Good Fortune Supermarket,,
10,0006',Blueberries,6.99,1,Good Fortune Supermarket,,
10,1000',Reusable Bags,0.46,2,Good Fortune Supermarket,,
13,0111',Heavy Cream,9.99,1,Smart & Final,,
13,0112',Butter,4.49,1,Smart & Final,,
13,0010',Pillsburry Moist Chocolate Cake,1.99,1,Smart & Final,,
13,0011',Twix Funsize,6.49,1,Smart & Final,,
13,0012',Reeses Peanut Butter Cups,4.39,1,Smart & Final,,
13,0013',M&M Milk Chocolates,4.49,1,Smart & Final,,
13,0014',Kit Kat Minis,4.39,1,Smart & Final,,
13,0048',Torani Puremade Caramel,4.99,1,Smart & Final,,
13,0016',Intl Delight Pumpkin Spice,3.99,1,Target,,
13,2000',White Sugar,16.69,1,Costco,,
13,1000',Reusable Bags,0.1,1,Smart & Final,,
11,0113',Cream Cheese,10.69,1,Costco,,
11,3000',Eggs,4.99,1,Costco,TOTAL = ,1946.35
12,0007',Banana,0.49,2,Smart & Final,,
12,0114',2% Reduced Fat Milk,1.99,1,Smart & Final,,
12,0111',Heavy Cream,9.99,1,Smart & Final,,
11,0115',Evaporated Milk,1.39,1,Smart & Final,,
11,0116',Condensed Milk,2.99,1,Smart & Final,,
11,1000',Reusable Bags,0.1,1,Smart & Final,,
11,0005',Strawberries,5,2,Aldi,,
11,0017',Chocolate Bar,1,1,Aldi,,
16,0018',Pillsburry Cookie Dough,10.58,2,Ralphs,,
16,0114',2% Reduced Fat Milk,2.79,1,Ralphs,,
16,0111',Heavy Cream,19.98,2,Smart & Final,,
16,0112',Butter,5.99,1,Smart & Final,,
16,3000',Eggs,3.99,1,Smart & Final,,
16,0017',Chocolate Bar,5.98,2,Smart & Final,,
16,0005',Strawberries,12.58,2,Costco,,
16,0006',Blueberries,5.49,1,Costco,,
16,0113',Cream Cheese,21.38,2,Costco,,
17,0113',Cream Cheese,23.97,3,Costco,,
17,0019',Graham Crackers,8.99,1,Costco,,
17,0112',Butter,14.39,1,Costco,,
17,0020',Oreos,15.38,2,Costco,,
19,3000',Eggs,5.49,1,Costco,,
18,0007',Banana,1.28,4,Smart & Final,,
17,0008',Mangoes,3.56,4,Smart & Final,,
18,0111',Heavy Cream,20.98,2,Smart & Final,,
17,0114',2% Reduced Fat Milk,4.38,2,Smart & Final,,
18,0115',Evaporated Milk,1.39,1,Smart & Final,,
18,0021',Yellow Cake Mix,2.49,1,Smart & Final,,
18,0116',Condensed Milk,2.89,1,Smart & Final,,
19,0006',Blueberries,1.96,1,Aldi,,
20,0005',Strawberries,10.86,4,Aldi,,
20,0008',Mangoes,3.58,2,Good Fortune Supermarket,,
20,0009',Mint,2.98,1,Good Fortune Supermarket,,
21,0022',Strawberry Filled Cookies,4.99,1,Super A Foods,,
22,0111',Heavy Cream,20.98,2,Smart & Final,,
22,0017',Chocolate Bar,2.5,1,Smart & Final,,
22,0114',2% Reduced Fat Milk,1.99,1,Smart & Final,,
22,0023',Puff Pastry,23.69,1,Smart & Final,,
22,2001',Brown Sugar,3.79,1,Smart & Final,,
22,0024',Nilla Wafers,2.29,1,Smart & Final,,
22,1000',Reusable Bags,0.2,2,Smart & Final,,
23,0002',Green Grapes,6.99,1,Good Fortune Supermarket,,
23,0025',Canteloupe,4.89,1,Good Fortune Supermarket,,
23,0004',Honeydew Melon,4.63,1,Good Fortune Supermarket,,
23,0006',Blueberries,1.29,1,Good Fortune Supermarket,,
22,0007',Banana,0.46,2,Good Fortune Supermarket,,
23,0008',Mangoes,2,1,Ralphs,,
23,0026',Pineapple,2.5,1,Smart & Final,,
23,0027',Blackberries,5.99,1,Smart & Final,,
23,0001',Watermelon,7.99,1,Smart & Final,,
23,0028',Torani Mango Syrup,6.99,1,Smart & Final,,
23,0029',Canned Sliced Peaches,2.99,1,Smart & Final,,
23,0030',Apricot Jam,3.49,1,Smart & Final,,
23,1000',Reusable Bags,0.1,1,Smart & Final,,
23,0006',Blueberries,2.49,1,Smart & Final,,
23,0031',Raspberries,4.98,2,Smart & Final,,
24,0111',Heavy Cream,10.49,1,Smart & Final,,
23,0115',Evaporated Milk,1.29,1,Smart & Final,,
23,0021',Yellow Cake Mix,2.49,1,Smart & Final,,
23,1000',Reusable Bags,0.1,1,Smart & Final,,
25,0005',Strawberries,11.25,3,Aldi,,
25,0039',Bi-Color Grapes,5.98,1,Aldi,,
25,0008',Mangoes,2.67,3,Aldi,,
25,0018',Pillsburry Cookie Dough,8.98,2,Target,,
25,0115',2% Reduced Fat Milk,2.49,1,Target,,
25,0027',Blackberries,4,2,Smart & Final,,
25,0006',Blueberries,4,2,Smart & Final,,
25,0001',Watermelon,3.99,1,Smart & Final,,
25,0025',Canteloupe,5.32,1,Smart & Final,,
25,0115',2% Reduced Fat Milk,1.79,1,Smart & Final,,
25,0033',Sephara Fondue Chocolate Chips,16,2,Smart & Final,,
25,0034',White Chocolate Chips,4.99,1,Smart & Final,,
25,0004',Honeydew Melon,3.02,1,Good Fortune Supermarket,,
25,0113',Cream Cheese,32.97,3,Costco,,
25,3000',Eggs,13.29,1,Costco,,
26,0111',Heavy Cream,10.49,1,Smart & Final,,
26,0116',Condensed Milk,2.39,1,Smart & Final,,
26,0008',Mangoes,3.58,2,Good Fortune Supermarket,,
26,0006',Blueberries,3.99,1,Good Fortune Supermarket,,
26,0005',Strawberries,3.59,1,Aldi,,
27,0111',Heavy Cream,10.49,1,Smart & Final,,
27,0019',Graham Crackers,8.99,1,Costco,,
27,0113',Cream Cheese,21.98,2,Costco,,
27,0002',Green Grapes,4.99,1,Aldi,,
27,0005',Strawberries,11.58,3,Aldi,,
27,0035',Frozen Strawberries,18.69,1,Smart & Final,,
27,0025',Cantaloupe,4.76,1,Hawaii Supermarket,,
27,0001',Watermelon,3.53,1,Hawaii Supermarket,,
27,0004',Honeydew Melon,4.52,1,Hawaii Supermarket,,
28,0009',Mint,2.99,1,Smart & Final,,
